id,region,aid-type,year,value
GB,Middle East,multilateral,2013,371521058.93
GB,Oceania,multilateral,2013,56437427.02
GB,Unspecified,multilateral,2013,384978204.85
US,Europe,multilateral,2013,90291331.44
US,North Africa,multilateral,2013,133819806.50
US,Sub-Saharan Africa,multilateral,2013,2375428037.20
US,North & Central America,multilateral,2013,207987698.69
US,South America,multilateral,2013,105017271.63
US,Far East Asia,multilateral,2013,444648633.33
US,South & Central Asia,multilateral,2013,1028709575.26
US,Middle East,multilateral,2013,270787086.18
US,Oceania,multilateral,2013,42599810.12
US,Unspecified,multilateral,2013,339175447.79
