"id","year","out-oda-gross","capital-repayment","interest-repayment"
"AE",2012,1103850000,94700000,0
"AU",2013,5235820000,79430000,0
"AT",2013,1117840000,4730000,1e+05
"BE",2013,2246250000,55620000,-20000
"CA",2013,5087680000,43620000,2230000
"CZ",2013,207860000,0,0
"DK",2013,2959070000,167370000,0
"FI",2013,1366540000,0,0
"FR",2013,12242060000,1420860000,0
"DE",2013,15376850000,1889680000,313830000
"GR",2013,236740000,0,0
"IS",2013,32980000,0,0
"IE",2013,816230000,0,0
"IT",2013,3326720000,76320000,3250000
"JP",2013,27688090000,13453060000,5418470000
"KR",2013,1747940000,62810000,36630000
"LU",2013,405630000,3240000,0
"NL",2013,5350790000,174810000,0
"NZ",2013,440670000,0,0
"NO",2013,5623980000,90120000,0
"PL",2013,473820000,18440000,0
"PT",2013,504560000,38160000,26510000
"SK",2013,82250000,0,0
"SI",2013,59450000,0,0
"ES",2013,2501590000,220310000,5293150000
"SE",2013,5626240000,64290000,0
"CH",2013,3185020000,25220000,0
"GB",2013,18205400000,412370000,0
"US",2013,31087510000,663200000,172440000
"BG",2013,49600000,0,0
"HR",2013,45040000,0,0
"CY",2013,20370000,0,0
"EE",2013,28510000,0,0
"HU",2013,123430000,0,0
"IL",2013,184840000,0,0
"KW",2013,495100000,309720000,117620000
"LV",2013,23700000,0,0
"LI",2013,28240000,0,0
"LT",2013,50370000,0,0
"MT",2013,18240000,0,0
"RO",2013,133780000,0,0
"RU",2013,688200000,0,0
"SA",2013,5819660000,141720000,0
"TW",2013,271510000,0,0
"TH",2013,64610000,18340000,0
"TR",2013,3316130000,0,0
"AE",2013,5487900000,91070000,0
"QA",2000,848624,0,0
"QA",2001,1579139,0,0
"QA",2002,0,0,0
"QA",2003,20358067,0,0
"QA",2004,0,0,0
"QA",2005,54186589,0,0
"QA",2006,5211879,0,0
"QA",2007,213892,0,0
"QA",2008,2692649,0,0
"QA",2009,13579173,0,0
"QA",2010,2118669,0,0
"QA",2011,12133437,0,0
"QA",2012,104942844,0,0
"QA",2013,69172972,0,0
