"id","year","estimate","value"
"SA",1983,FALSE,
"SD",1983,FALSE,
"SN",1983,FALSE,
"SG",1983,FALSE,
"SB",1983,FALSE,
"SL",1983,FALSE,
"SV",1983,FALSE,
"SM",1983,FALSE,
"RS",1983,FALSE,
"SS",1983,FALSE,
"ST",1983,FALSE,
"SR",1983,FALSE,
"SK",1983,FALSE,
"SI",1983,FALSE,
"SE",1983,FALSE,7.43798e+11
"SZ",1983,FALSE,1.173e+09
"SC",1983,FALSE,9.93e+08
"SY",1983,FALSE,
"TD",1983,FALSE,
"TG",1983,FALSE,
"TH",1983,FALSE,
"TJ",1983,FALSE,
"TM",1983,FALSE,
"TL",1983,FALSE,
"TO",1983,FALSE,
"TT",1983,FALSE,
"TN",1983,FALSE,
"TR",1983,FALSE,1.9e+07
"TV",1983,FALSE,
"TW",1983,FALSE,2.168143e+12
"TZ",1983,FALSE,
"UG",1983,FALSE,
"UA",1983,FALSE,
"UY",1983,FALSE,
"US",1983,FALSE,3.638125e+12
"XK",1983,FALSE,
"UZ",1983,FALSE,
"VC",1983,FALSE,2.97e+08
"VE",1983,FALSE,
"VN",1983,FALSE,2.7775e+10
"VU",1983,FALSE,1.1665e+10
"AS",1983,FALSE,
"YE",1983,FALSE,
"ZA",1983,FALSE,
"ZM",1983,FALSE,
"ZW",1983,FALSE,
"AF",1984,FALSE,
"AO",1984,FALSE,
"AL",1984,FALSE,
"AE",1984,FALSE,
"AR",1984,FALSE,
"AM",1984,FALSE,
"AG",1984,FALSE,
"AU",1984,FALSE,2.25348e+11
"AT",1984,FALSE,
"AZ",1984,FALSE,
"BI",1984,FALSE,
"BE",1984,FALSE,1.14648e+11
"BJ",1984,FALSE,
"BF",1984,FALSE,
"BD",1984,FALSE,5.62115e+11
"BG",1984,FALSE,
"BH",1984,FALSE,
"BS",1984,FALSE,
"BA",1984,FALSE,
"BY",1984,FALSE,
"BZ",1984,FALSE,4.21e+08
"BO",1984,FALSE,1.9e+07
"BR",1984,FALSE,
"BB",1984,FALSE,
"BN",1984,FALSE,
"BT",1984,FALSE,1.832e+09
"BW",1984,FALSE,1.706e+09
"CF",1984,FALSE,
"CA",1984,FALSE,4.58745e+11
"CH",1984,FALSE,2.36148e+11
"CL",1984,FALSE,
"CN",1984,FALSE,7.34336e+11
"CI",1984,FALSE,
"CM",1984,FALSE,
"CD",1984,FALSE,
"CG",1984,FALSE,
"CO",1984,FALSE,5.355656e+12
"KM",1984,FALSE,4.6e+10
"CV",1984,FALSE,
"CR",1984,FALSE,
"CY",1984,FALSE,
"CZ",1984,FALSE,
"DE",1984,FALSE,
"DJ",1984,FALSE,
"DM",1984,FALSE,
"DK",1984,FALSE,5.97727e+11
"DO",1984,FALSE,
"DZ",1984,FALSE,
"EC",1984,FALSE,
"EG",1984,FALSE,
"ER",1984,FALSE,
"ES",1984,FALSE,1.61545e+11
"EE",1984,FALSE,
"ET",1984,FALSE,1.7017e+10
"FI",1984,FALSE,5.467e+10
"FJ",1984,FALSE,
"FR",1984,FALSE,7.09648e+11
"FM",1984,FALSE,
"GA",1984,FALSE,
"GB",1984,FALSE,3.30026e+11
"GE",1984,FALSE,
"GH",1984,FALSE,2.9e+07
"GN",1984,FALSE,3.04355e+11
"GM",1984,FALSE,
"GW",1984,FALSE,
"GQ",1984,FALSE,1.6179e+10
"GR",1984,FALSE,1.4947e+10
"GD",1984,FALSE,3.6e+08
"GT",1984,FALSE,
"GY",1984,FALSE,
"HK",1984,FALSE,
"HN",1984,FALSE,
"HR",1984,FALSE,
"HT",1984,FALSE,
"HU",1984,FALSE,9.98288e+11
"ID",1984,FALSE,
"IO",1984,FALSE,2.566109e+12
"IE",1984,FALSE,2.3167e+10
"IR",1984,FALSE,
