"id","entity-name","year","budget-type","value"
"d111","Ssembabule",2013,"budget",7.1904544117
"d111","Ssembabule",2014,"budget",7.5919954239
"d111","Ssembabule",2015,"budget",4.1761423284
"d111","Ssembabule",2016,"budget",4.206445922
"d212","Tororo",2012,"budget",7.946626479
"d212","Tororo",2013,"budget",8.2347209526
"d212","Tororo",2014,"budget",6.7141824478
"d212","Tororo",2015,"budget",2.7716020138
"d212","Tororo",2016,"budget",2.739042362
"d113","Wakiso",2012,"budget",8.1255080809
"d113","Wakiso",2013,"budget",6.092128273
"d113","Wakiso",2014,"budget",5.1645426525
"d113","Wakiso",2015,"budget",2.4888386449
"d113","Wakiso",2016,"budget",2.5474724469
"d313","Yumbe",2012,"budget",9.0077405713
"d313","Yumbe",2013,"budget",10.1078022649
"d313","Yumbe",2014,"budget",10.3442640826
"d313","Yumbe",2015,"budget",4.1133641625
"d313","Yumbe",2016,"budget",3.5318980586
"d330","Zombo",2013,"budget",10.409951313
"d330","Zombo",2014,"budget",10.0458184439
"d330","Zombo",2015,"budget",3.9171964677
"d330","Zombo",2016,"budget",3.7326372325
