"id","population-0-14.2000","population-15-64.2000","population-65-.2000","population-0-14.2001","population-15-64.2001","population-65-.2001","population-0-14.2002","population-15-64.2002","population-65-.2002","population-0-14.2003","population-15-64.2003","population-65-.2003","population-0-14.2004","population-15-64.2004","population-65-.2004","population-0-14.2005","population-15-64.2005","population-65-.2005","population-0-14.2006","population-15-64.2006","population-65-.2006","population-0-14.2007","population-15-64.2007","population-65-.2007","population-0-14.2008","population-15-64.2008","population-65-.2008","population-0-14.2009","population-15-64.2009","population-65-.2009","population-0-14.2010","population-15-64.2010","population-65-.2010","population-0-14.2011","population-15-64.2011","population-65-.2011","population-0-14.2012","population-15-64.2012","population-65-.2012","population-0-14.2013","population-15-64.2013","population-65-.2013"
"ES",5950230,27523176,6789811,5955749,27898909,6901342,6013521,28408595,7009443,6105011,28972572,7110058,6210485,29506376,7205035,6328539,30012453,7312162,6458749,30500679,7437891,6610749,31023502,7592550,6756839,31450465,7746801,6865149,31633111,7864688,6952532,31657845,7966521,7039824,31622794,8080077,7108539,31464713,8188012,7161961,31200381,8285079
"EE",250992,933978,212015,240858,931756,215498,230678,929453,219218,221109,926771,222840,213040,923546,225962,207044,919469,228262,203281,914012,229516,201825,908618,230237,202267,903935,230889,203613,899205,231697,205050,893667,232758,206312,887029,234094,207876,881061,236077,209617,876095,238899
"ET",30744384,33236542,2043273,31635040,34220926,2100899,32546852,35243133,2158362,33461016,36309895,2218753,34351447,37428420,2286273,35198244,38605178,2363817,35997034,39841137,2452478,36750127,41139550,2551032,37452798,42511244,2657150,38101462,43969230,2767342,38695038,45521305,2878936,39230229,47171192,2991641,39710742,48912233,3105874,40163148,50717648,3219960
"FI",939602,3464376,772230,933091,3471467,783447,927388,3477119,796090,921894,3481711,809409,916460,3488740,822972,910687,3499095,836314,904298,3513279,848690,897702,3530295,860724,891772,3546933,874693,887460,3557912,893500,885304,3559150,918897,885807,3550318,952144,888721,3533141,992113,894583,3509194,1035630
"FJ",284564,499218,27865,279527,506235,28937,272453,513718,30066,264485,521491,31250,257227,529271,32494,251838,536838,33808,248695,544181,35183,247466,551303,36622,247714,557988,38146,248707,563989,39786,249878,569129,41552,251144,573310,43467,252609,576615,45519,254266,578887,47912
"FR",11537017,39618332,9755708,11544820,39912617,9898295,11564245,40205916,10033067,11593079,40492269,10157130,11635038,40793161,10273922,11687328,41105327,10383592,11742249,41400890,10474833,11797011,41665053,10550510,11849396,41888617,10633087,11895416,42056089,10751414,11933777,42163106,10926260,11964836,42210436,11168317,11991964,42213827,11470963,12032269,42202817,11793381
"FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM",43312,60120,3998,42724,60387,4058,42298,60553,4132,41971,60648,4202,41632,60699,4244,41205,60742,4251,40683,60786,4215,40107,60845,4147,39489,60945,4067,38857,61121,4005,38235,61399,3985,37625,61788,4012,37029,62284,4082,36336,62989,4224
"GA",497854,655744,71929,507105,674939,73253,516314,694534,74469,525605,714616,75600,535129,735317,76679,545007,756721,77737,555249,778877,78781,565866,801709,79813,576982,825021,80840,588744,848552,81863,601219,872110,82893,614457,895637,83941,628345,919218,85009,643258,942221,86232
"GB",11187076,38397643,9307794,11112176,38658322,9349174,11024152,38945371,9400959,10935014,39248249,9464314,10866519,39575802,9545585,10831326,39922574,9647305,10826847,40258774,9761202,10851063,40582888,9888508,10896777,40876223,10033992,10953243,41118531,10204496,11021858,41332129,10412380,11097601,41501155,10660163,11171495,41591842,10932346,11275929,41610161,11210995
"GE",968218,2897523,552559,931073,2888949,566380,891686,2881515,583800,852132,2874925,601844,818715,2880901,618684,800323,2924289,636788,786502,2965344,646152,770366,2976047,641987,761015,2988334,634450,762214,3017363,631323,770251,3049476,633073,780642,3065718,636992,791136,3058753,640806,800984,3030420,645496
"GH",7798659,10458022,568353,7944185,10755596,593614,8098592,11063975,623740,8260224,11384385,657076,8426272,11718085,691158,8594486,12065479,724069,8764226,12427967,755585,8935586,12804160,785915,9107805,13188217,814116,9280129,13572244,839161,9451722,13950733,860446,9621917,14321235,877551,9789712,14685764,890988,9961784,15040732,902082
