id-from,id-to,flow,year,value
FI,europe,fdi-regions-new,2015,0
FI,europe,oda-regions,2015,28030000
FI,europe,oofs-regions,2015,590000
FI,europe,remittances-regions,2015,5884926.489573
FI,far-east-asia,fdi-regions-new,2015,0
FI,far-east-asia,oda-regions,2015,29240000
FI,far-east-asia,oofs-regions,2015,8060000
FI,far-east-asia,remittances-regions,2015,140661147.043236
FI,middle-east,fdi-regions-new,2015,0
FI,middle-east,oda-regions,2015,51670000
FI,middle-east,oofs-regions,2015,11950000
FI,middle-east,remittances-regions,2015,12608164.9796057
FI,north-central-america,fdi-regions-new,2015,0
FI,north-central-america,oda-regions,2015,12860000
FI,north-central-america,oofs-regions,2015,1720000
FI,north-central-america,remittances-regions,2015,3475424.42993969
FI,north-of-sahara,fdi-regions-new,2015,0
FI,north-of-sahara,oda-regions,2015,8210000
FI,north-of-sahara,oofs-regions,2015,
FI,north-of-sahara,remittances-regions,2015,13015954.2039272
FI,oceania,fdi-regions-new,2015,0
FI,oceania,oda-regions,2015,810000
FI,oceania,oofs-regions,2015,
FI,oceania,remittances-regions,2015,56080.7459117885
FI,south-america,fdi-regions-new,2015,0
FI,south-america,oda-regions,2015,11010000
FI,south-america,oofs-regions,2015,
FI,south-america,remittances-regions,2015,5944368.37623163
FI,south-central-asia,fdi-regions-new,2015,0
FI,south-central-asia,oda-regions,2015,82910000
FI,south-central-asia,oofs-regions,2015,2950000
FI,south-central-asia,remittances-regions,2015,46642276.5153428
FI,south-of-sahara,fdi-regions-new,2015,0
FI,south-of-sahara,oda-regions,2015,222890000
FI,south-of-sahara,oofs-regions,2015,15760000
FI,south-of-sahara,remittances-regions,2015,53656403.1063891
FR,europe,fdi-regions-new,2015,754298391.569604
FR,europe,oda-regions,2015,134750000
FR,europe,oofs-regions,2015,110760000
FR,europe,remittances-regions,2015,399988858.996006
FR,far-east-asia,fdi-regions-new,2015,1322240709.92789
FR,far-east-asia,oda-regions,2015,662490000
FR,far-east-asia,oofs-regions,2015,15150000
FR,far-east-asia,remittances-regions,2015,1413530437.21951
FR,middle-east,fdi-regions-new,2015,76539101.497504
FR,middle-east,oda-regions,2015,297020000
FR,middle-east,oofs-regions,2015,50050000
FR,middle-east,remittances-regions,2015,465199069.278318
FR,north-central-america,fdi-regions-new,2015,0
FR,north-central-america,oda-regions,2015,301450000
FR,north-central-america,oofs-regions,2015,82710000
FR,north-central-america,remittances-regions,2015,210804391.264174
FR,north-of-sahara,fdi-regions-new,2015,511369938.990571
FR,north-of-sahara,oda-regions,2015,748650000
FR,north-of-sahara,oofs-regions,2015,43770000
FR,north-of-sahara,remittances-regions,2015,5346613999.40491
FR,oceania,fdi-regions-new,2015,392678868.55241
FR,oceania,oda-regions,2015,124010000
FR,oceania,oofs-regions,2015,
FR,oceania,remittances-regions,2015,2851520.33813463
FR,south-america,fdi-regions-new,2015,454797559.622859
FR,south-america,oda-regions,2015,954340000
FR,south-america,oofs-regions,2015,351620000
FR,south-america,remittances-regions,2015,193318060.125883
FR,south-central-asia,fdi-regions-new,2015,457016084.303941
FR,south-central-asia,oda-regions,2015,262500000
FR,south-central-asia,oofs-regions,2015,180520000
FR,south-central-asia,remittances-regions,2015,541277384.605478
FR,south-of-sahara,fdi-regions-new,2015,3393233499.72263
FR,south-of-sahara,oda-regions,2015,2402100000
FR,south-of-sahara,oofs-regions,2015,323990000
