country,sector,channel,year,in-oda-gross-sector-channel
65,D,A,2006,53055693
65,D,D,2006,66701495
65,D,E,2006,11848973
65,D,F,2006,5208417
65,D,H,2006,10426956
65,D,I,2006,27829876
65,D,J,2006,25574510
65,E,A,2006,11146396
65,E,D,2006,10674928
65,E,E,2006,8945460
65,E,F,2006,2633118
65,E,H,2006,3028399
65,E,I,2006,1758882
65,E,J,2006,15069285
65,F,A,2006,35223411
65,F,D,2006,197015
65,F,E,2006,2269289
65,F,H,2006,6437763
65,F,I,2006,3986705
65,F,J,2006,1154987
65,G,A,2006,11403560
65,G,D,2006,109077
65,G,H,2006,6387150
65,G,I,2006,22877429
65,G,J,2006,13217812
65,H,A,2006,42282575
65,H,D,2006,5253458
65,H,E,2006,2971161
65,H,F,2006,1295253
65,H,H,2006,16245632
65,H,I,2006,35650890
65,H,J,2006,12068956
65,I,A,2006,17761357
65,I,E,2006,237429
65,I,F,2006,4511
65,I,H,2006,1328314
65,I,I,2006,1723271
65,I,J,2006,6807023
65,J,A,2006,20563407
65,J,D,2006,4384155
65,J,E,2006,90232
65,J,F,2006,229465
65,J,H,2006,3233016
65,J,I,2006,6799582
65,J,J,2006,6684705
65,K,A,2006,43682351
65,K,D,2006,9501998
65,K,E,2006,3699604
65,K,F,2006,2997595
65,K,H,2006,3441807
65,K,I,2006,18903562
65,K,J,2006,71819217
65,M,A,2006,76578480
65,M,J,2006,1182847
65,N,A,2006,9976237
65,N,D,2006,115957165
65,N,E,2006,92914946
65,N,F,2006,644507
65,N,H,2006,375305022
65,N,I,2006,3162438
65,N,J,2006,17532707
66,A,A,2006,2322326
66,A,D,2006,918144
66,A,I,2006,25511
66,A,J,2006,7801
66,B,A,2006,50414
66,B,D,2006,1959981
66,B,H,2006,1514607
66,B,J,2006,604925
66,C,D,2006,12526
66,C,H,2006,604761
66,D,A,2006,7398751
66,D,D,2006,2463617
66,D,E,2006,99903
66,D,H,2006,1416503
66,D,I,2006,116563
66,D,J,2006,1929393
66,E,A,2006,31629
66,E,D,2006,2798099
66,E,H,2006,1514607
66,E,I,2006,2840
66,E,J,2006,1575992
66,F,I,2006,481719
66,F,J,2006,10508
66,G,A,2006,27271
66,G,J,2006,3427049
66,H,D,2006,134783
66,I,A,2006,25670
66,I,I,2006,108186
66,J,A,2006,85841
66,J,J,2006,97688
66,K,A,2006,564784
66,K,D,2006,21637
66,K,E,2006,235733
66,K,I,2006,17756
66,K,J,2006,696179
66,M,A,2006,89286710
66,N,D,2006,273278
66,N,J,2006,150185
67,A,A,2006,584707
67,A,J,2006,3912016
67,B,A,2006,4009900
67,B,H,2006,174969
67,B,I,2006,1148375
67,B,J,2006,14365667
67,C,J,2006,392901
67,D,A,2006,337757
67,D,I,2006,210406
67,D,J,2006,8873448
67,E,J,2006,1028676
67,F,J,2006,436583
67,G,D,2006,395342
67,G,H,2006,803973
67,G,I,2006,663333
67,G,J,2006,301213
67,H,I,2006,364335
67,H,J,2006,487854
67,I,A,2006,886775
67,I,I,2006,5661035
67,I,J,2006,3824108
67,J,H,2006,385375
67,J,I,2006,221480
67,J,J,2006,1258414
67,K,A,2006,2688770
67,K,J,2006,1230218
67,N,A,2006,13288
67,N,D,2006,871086
67,N,H,2006,641185
67,N,I,2006,11766138
67,N,J,2006,2105147
AF,A,A,2006,31299117
AF,A,D,2006,21921727
AF,A,E,2006,8563
AF,A,F,2006,369649
AF,A,H,2006,13322313
AF,A,I,2006,996188
AF,A,J,2006,34646764
AF,B,A,2006,18705782
AF,B,D,2006,32370026
AF,B,E,2006,592847
AF,B,H,2006,33918873
AF,B,I,2006,71578110
AF,B,J,2006,35769522
AF,C,A,2006,21199812
AF,C,D,2006,614281
AF,C,E,2006,305085
AF,C,J,2006,14164494
AF,D,A,2006,108175412
AF,D,D,2006,13050957
AF,D,E,2006,18586130
AF,D,F,2006,2380763
AF,D,H,2006,476441759
AF,D,I,2006,195011714
AF,D,J,2006,129230524
AF,E,A,2006,22598557
AF,E,D,2006,725169
AF,E,E,2006,453140
AF,E,H,2006,15930828
AF,E,I,2006,210556
AF,E,J,2006,95621422
AF,F,A,2006,197385768
AF,F,D,2006,387739
AF,F,F,2006,413040
AF,F,I,2006,2145003
AF,F,J,2006,49627089
AF,G,A,2006,12748446
AF,G,D,2006,425995
AF,G,F,2006,72487
AF,G,H,2006,93974175
AF,G,I,2006,353769309
AF,G,J,2006,34739931
AF,H,A,2006,29077348
AF,H,D,2006,7976686
AF,H,E,2006,1159540
AF,H,F,2006,470329
AF,H,H,2006,13434714
AF,H,I,2006,31221698
AF,H,J,2006,56436817
AF,I,A,2006,1043146
AF,I,H,2006,7128572
AF,I,I,2006,1744157
AF,I,J,2006,27804386
AF,J,A,2006,350861
AF,J,I,2006,7907
AF,J,J,2006,62100
AF,K,A,2006,37942205
AF,K,D,2006,5486371
AF,K,E,2006,4223559
AF,K,F,2006,2009644
AF,K,H,2006,146096852
AF,K,I,2006,13441934
AF,K,J,2006,93835729
AF,L,A,2006,20734161
AF,L,J,2006,36233490
AF,N,A,2006,85254729
AF,N,D,2006,54141346
AF,N,E,2006,13036982
AF,N,F,2006,307272
AF,N,H,2006,125011317
