country,channel,year,out-oda-gross-channel
NL,F,2010,204728072
NL,G,2010,53123563
NL,H,2010,750545423
NL,I,2010,370047141
NO,A,2010,39807952
NO,B,2010,785851871
NO,C,2010,650013755
NO,E,2010,823281430
NO,F,2010,134166668
NO,G,2010,47417186
NO,H,2010,1196437799
NO,I,2010,375856623
NZ,A,2010,174063941
NZ,C,2010,49545771
NZ,D,2010,24002366
NZ,E,2010,21561853
NZ,F,2010,1909555
NZ,G,2010,317623
NZ,H,2010,35541029
NZ,I,2010,2798092
PT,B,2010,126578099
PT,C,2010,220374161
PT,E,2010,10794259
PT,F,2010,10903402
PT,G,2010,877505
PT,H,2010,49316223
SE,A,2010,646059346
SE,B,2010,534471808
SE,E,2010,763873837
SE,F,2010,123343855
SE,G,2010,8997034
SE,H,2010,800720773
SE,I,2010,165899521
SE,J,2010,141081177
US,A,2010,11673033331
US,D,2010,711343674
US,E,2010,6345133094
US,G,2010,142229270
US,H,2010,4546895954
US,I,2010,4991836825
1,C,2011,122418103
1,I,2011,130511
2,C,2011,2176142904
4,J,2011,811633379
6,C,2011,1893552353
7,J,2011,93736141
9,J,2011,38236
10,C,2011,45515803
10,H,2011,686195338
10,I,2011,7025040
10,J,2011,61111824
12,B,2011,1247299
12,C,2011,1536783992
12,D,2011,283674538
12,E,2011,119911886
12,F,2011,218229401
12,G,2011,26052300
12,H,2011,390731595
12,I,2011,6873448
14,J,2011,205612436
15,H,2011,773187775
15,J,2011,10650840180
17,A,2011,1577249065
17,I,2011,91802764
21,J,2011,1420172535
24,A,2011,1365376
24,H,2011,66702451
25,J,2011,286119897
26,J,2011,147188892
27,H,2011,82711723
27,I,2011,176400613
28,A,2011,5597494
28,C,2011,166644658
28,D,2011,2402667
28,E,2011,9722
28,H,2011,227838715
28,J,2011,286378361
29,J,2011,12193232
31,A,2011,72726429
31,D,2011,38309368
31,H,2011,194890839
31,J,2011,1869293
32,J,2011,430811900
33,J,2011,1077989916
34,H,2011,60661712
35,H,2011,593412772
37,J,2011,336670282
38,J,2011,441428942
AE,B,2011,336192469
AE,C,2011,217494469
AE,E,2011,74449180
AE,F,2011,85610996
AE,G,2011,4880610
AE,H,2011,23527328
AE,I,2011,1840441
AT,A,2011,5902495
AT,B,2011,176495722
AT,C,2011,32724331
AT,E,2011,56391590
AT,F,2011,3677649
AT,G,2011,4079160
AT,H,2011,79416587
AT,I,2011,106582126
AU,B,2011,865459773
AU,C,2011,317238845
AU,E,2011,463023951
AU,F,2011,122987054
AU,G,2011,11724350
AU,H,2011,1298064456
AU,I,2011,1062162709
BE,A,2011,754838665
BE,B,2011,92742756
BE,C,2011,31859512
BE,D,2011,74456018
BE,E,2011,245587387
