id,year,direction,flow-type,flow-name,value
CG,2013,in,commercial,long-debt-disbursement-commercial-in,204416000
CG,2013,in,commercial,short-debt-net-flow-in,35820183.47
CG,2013,out,commercial,long-debt-capital-payments-out,144204000
CG,2013,out,commercial,long-debt-interest-payments-out,17874000
CG,2013,out,commercial,short-debt-interest-out,2094427.198
CI,2011,in,private,pda-in,na
CI,2013,in,official,ssc-in,na
CI,2013,in,official,oda-in,2097770000
CI,2013,in,commercial,fdi-in-profits-out,0
CI,2013,out,commercial,fdi-out,31670548.77
CI,2013,out,official,oda-capital-payments-out,856900000
CI,2013,out,official,oofs-capital-payments-out,236470000
CI,2013,in,commercial,net-portfolio-equity-in,0
CI,2013,out,official,oofs-interest-payments-out,20980000
CI,2013,in,official,oofs-in,86510000
CI,2013,out,official,oda-interest-payments-out,18250000
CI,2013,in,commercial,fdi-in,354344764.9
CI,2013,in,private,remittances-in,549127212.1
CI,2012,out,illicit,trade-mispricing-out,2190341664
CI,2013,out,private,remittances-out,na
CI,2012,in,official,dfis-in,804178964.2
CI,2012,out,illicit,illicit-financing-out,na
CI,2013,in,commercial,long-debt-disbursement-commercial-in,1442709000
CI,2013,in,commercial,short-debt-net-flow-in,29608997.25
CI,2013,out,commercial,long-debt-capital-payments-out,694431000
CI,2013,out,commercial,long-debt-interest-payments-out,236110000
CI,2013,out,commercial,short-debt-interest-out,0
CK,2011,in,private,pda-in,na
CK,2013,in,official,ssc-in,na
CK,2013,in,official,oda-in,16820000
CK,2013,in,commercial,fdi-in-profits-out,na
CK,2013,out,commercial,fdi-out,na
CK,2013,out,official,oda-capital-payments-out,1010000
CK,2013,out,official,oofs-capital-payments-out,1170000
CK,2013,in,commercial,net-portfolio-equity-in,na
CK,2013,out,official,oofs-interest-payments-out,660000
CK,2013,in,official,oofs-in,6090000
CK,2013,out,official,oda-interest-payments-out,290000
CK,2013,in,commercial,fdi-in,na
CK,2013,in,private,remittances-in,na
CK,2012,out,illicit,trade-mispricing-out,na
CK,2013,out,private,remittances-out,na
CK,2012,in,official,dfis-in,6000000
CK,2012,out,illicit,illicit-financing-out,na
CK,2013,in,commercial,long-debt-disbursement-commercial-in,na
CK,2013,in,commercial,short-debt-net-flow-in,na
CK,2013,out,commercial,long-debt-capital-payments-out,na
CK,2013,out,commercial,long-debt-interest-payments-out,na
CK,2013,out,commercial,short-debt-interest-out,na
CL,2011,in,private,pda-in,na
CL,2013,in,official,ssc-in,na
CL,2013,in,official,oda-in,92800000
