country,year,from_illicitfinance
NA,2011,0.00
NE,2001,0.00
NE,2002,16.50
NE,2003,23.44
NE,2004,0.00
NE,2005,0.00
NE,2006,0.00
NE,2007,21.08
NE,2008,57.91
NE,2009,0.00
NE,2010,0.00
NE,2011,
NG,2001,0.00
NG,2002,0.00
NG,2003,0.00
NG,2004,0.00
NG,2005,25654.41
NG,2006,20796.44
NG,2007,16102.98
NG,2008,19861.28
NG,2009,33051.56
NG,2010,16449.51
NG,2011,7140.98
NI,2001,0.00
NI,2002,456.52
NI,2003,141.14
NI,2004,551.16
NI,2005,81.31
NI,2006,492.34
NI,2007,60.44
NI,2008,374.11
NI,2009,49.76
NI,2010,185.23
NI,2011,292.94
NP,2001,0.00
NP,2002,139.34
NP,2003,0.00
NP,2004,0.00
NP,2005,0.00
NP,2006,0.00
NP,2007,0.00
NP,2008,136.40
NP,2009,0.00
NP,2010,197.94
NP,2011,0.00
OM,2001,1334.13
OM,2002,1997.93
OM,2003,1253.45
OM,2004,792.84
OM,2005,1414.81
OM,2006,12.56
OM,2007,0.00
OM,2008,0.00
OM,2009,1444.73
OM,2010,0.00
OM,2011,1071.71
PA,2001,672.93
PA,2002,0.00
PA,2003,0.00
PA,2004,0.00
PA,2005,452.83
PA,2006,0.00
PA,2007,570.64
PA,2008,0.00
PA,2009,0.00
PA,2010,0.00
PA,2011,445.64
PE,2001,0.00
PE,2002,0.00
PE,2003,0.00
PE,2004,0.00
PE,2005,0.00
PE,2006,590.86
PE,2007,188.38
PE,2008,154.92
PE,2009,758.89
PE,2010,0.00
PE,2011,1084.78
PG,2001,4.43
PG,2002,0.00
PG,2003,0.00
PG,2004,0.00
PG,2005,0.00
PG,2006,26.37
PG,2007,0.00
PG,2008,100.72
PG,2009,0.00
PG,2010,118.52
PG,2011,
PH,2001,0.00
PH,2002,0.00
PH,2003,1700.18
PH,2004,508.16
PH,2005,3098.91
PH,2006,2435.21
PH,2007,2778.28
PH,2008,1338.06
PH,2009,0.00
PH,2010,2251.00
PH,2011,1369.19
PK,2001,0.00
PK,2002,0.00
PK,2003,71.97
PK,2004,0.00
PK,2005,291.51
PK,2006,0.00
PK,2007,0.00
PK,2008,60.69
PK,2009,0.00
PK,2010,855.71
PK,2011,0.00
PL,2001,0.00
PL,2002,1593.79
PL,2003,3025.27
PL,2004,0.00
PL,2005,945.62
PL,2006,0.00
PL,2007,3215.75
PL,2008,10002.20
PL,2009,10302.96
PL,2010,10236.78
PL,2011,8519.83
PY,2001,0.00
PY,2002,710.57
PY,2003,110.12
PY,2004,0.00
PY,2005,457.40
PY,2006,0.00
PY,2007,767.22
PY,2008,55.70
PY,2009,0.00
PY,2010,0.00
PY,2011,0.00
QA,2001,2889.84
QA,2002,2805.33
QA,2003,2925.89
QA,2004,0.00
QA,2005,8757.00
QA,2006,6825.76
QA,2007,0.00
QA,2008,2458.26
QA,2009,3097.87
QA,2010,14586.06
QA,2011,3947.42
RO,2001,0.00
RO,2002,2264.45
RO,2003,621.62
RO,2004,0.00
RO,2005,0.00
RO,2006,0.00
RO,2007,1282.48
RO,2008,1787.08
RO,2009,1744.03
RO,2010,144.73
RO,2011,0.00
RS,2001,
RS,2002,
RS,2003,
RS,2004,
RS,2005,
RS,2006,
RS,2007,0.00
RS,2008,173.38
RS,2009,71.32
RS,2010,0.00
RS,2011,0.00
RU,2001,
RU,2002,
RU,2003,
RU,2004,
RU,2005,
RU,2006,
RU,2007,
RU,2008,
RU,2009,
RU,2010,
RU,2011,
RW,2001,0.00
RW,2002,0.00
RW,2003,0.00
RW,2004,15.27
RW,2005,0.00
RW,2006,0.00
RW,2007,0.96
RW,2008,22.09
RW,2009,0.00
RW,2010,14.72
RW,2011,0.00
SA,2001,0.00
SA,2002,0.00
SA,2003,0.00
SA,2004,0.00
SA,2005,50494.34
SA,2006,27720.52
SA,2007,20237.09
SA,2008,33734.27
SA,2009,84197.50
SA,2010,41693.59
SA,2011,49913.87
SB,2001,0.00
SB,2002,0.00
SB,2003,0.00
SB,2004,11.07
SB,2005,0.00
SB,2006,0.00
SB,2007,0.00
SB,2008,2.95
SB,2009,0.00
SB,2010,23.85
SB,2011,38.20
SC,2001,0.00
SC,2002,11.92
SC,2003,5.14
SC,2004,0.00
SC,2005,0.47
SC,2006,0.00
SC,2007,0.00
SC,2008,0.00
SC,2009,0.00
SC,2010,0.00
SC,2011,0.00
SD,2001,74.81
SD,2002,0.00
SD,2003,36.75
SD,2004,0.00
SD,2005,0.00
SD,2006,2790.99
SD,2007,3674.81
SD,2008,3045.80
SD,2009,3694.35
SD,2010,4428.21
SD,2011,2671.21
SL,2001,0.00
SL,2002,25.66
SL,2003,78.84
SL,2004,85.85
