id,year,value,budget-type
DE,2019,24063.1922998703,proj
DE,2020,25046.7565063098,proj
DE,2021,26137.6844611566,proj
DJ,2000,309.9961230115,actual
DJ,2001,288.6817271315,actual
DJ,2002,322.2972999785,actual
DJ,2003,373.5795746392,actual
DJ,2004,411.242109564,actual
DJ,2005,431.3471645892,actual
DJ,2006,478.5596329441,actual
DJ,2007,544.106278138,actual
DJ,2008,723.1412236194,actual
DJ,2009,780.9504194633,actual
DJ,2010,735.1663701198,actual
DJ,2011,807.1897255875,actual
DJ,2012,944.5808003605,actual
DJ,2013,1024.3955136596,proj
DJ,2014,1413.758502175,proj
DJ,2015,1600.5851632704,proj
DJ,2016,1626.7649862384,proj
DJ,2017,1387.8696201486,proj
DJ,2018,1462.8615173523,proj
DJ,2019,1538.983221571,proj
DJ,2020,,proj
DK,2000,12623.7994218843,actual
DK,2001,13367.6728541919,actual
DK,2002,14118.1179720882,actual
DK,2003,14669.3801336846,actual
DK,2004,15466.6121092677,actual
DK,2005,16166.0909852909,actual
DK,2006,16988.2701445876,actual
DK,2007,17850.067681646,actual
DK,2008,19464.4309264188,actual
DK,2009,20834.7602783705,actual
DK,2010,22577.6480139627,actual
DK,2011,22994.3779217397,actual
DK,2012,24812.1842061021,actual
DK,2013,24548.2701028418,actual
DK,2014,24885.1567506055,actual
DK,2015,25451.4143487216,actual
DK,2016,24895.4584102863,proj
DK,2017,25256.1152092766,proj
DK,2018,26339.2399197783,proj
DK,2019,27652.7152485693,proj
DK,2020,29164.8239520435,proj
DK,2021,30858.4359061497,proj
DM,2000,2099.3355881552,actual
DM,2001,2374.9389217988,actual
DM,2002,1840.2298952054,actual
DM,2003,1729.8641854824,actual
DM,2004,2028.3874819959,actual
DM,2005,2022.703034103,actual
DM,2006,2185.6675352805,actual
DM,2007,2289.3763525386,actual
DM,2008,2888.0080448026,actual
DM,2009,3424.995065577,actual
DM,2010,3678.9144201037,actual
DM,2011,4152.4855555761,actual
DM,2012,3601.9704628723,proj
DM,2013,3651.3166804401,proj
DM,2014,3696.516589734,proj
DM,2015,3730.9214245336,proj
DM,2016,3843.5439005757,proj
DM,2017,4043.2196952778,proj
DM,2018,4249.1664679066,proj
DM,2019,,proj
DM,2020,,proj
DO,2000,,actual
DO,2001,,actual
DO,2002,,actual
DO,2003,,actual
DO,2004,,actual
DO,2005,,actual
DO,2006,,actual
DO,2007,884.9617226796,actual
DO,2008,1250.2730616916,actual
DO,2009,1176.3978557295,actual
DO,2010,1319.422442391,proj
DO,2011,1532.2151156938,proj
DO,2012,,proj
DO,2013,,proj
DO,2014,,proj
DO,2015,,proj
DO,2016,,proj
DO,2017,,proj
DO,2018,,proj
DO,2019,,proj
DO,2020,,proj
DZ,2000,563.1269476243,actual
DZ,2001,619.3457528878,actual
DZ,2002,725.817282101,actual
DZ,2003,845.0030341001,actual
DZ,2004,1045.1052095625,actual
DZ,2005,1296.8242213707,actual
DZ,2006,1689.4727870672,actual
DZ,2007,2247.1742965876,actual
DZ,2008,3414.6362278101,actual
DZ,2009,2995.6186216479,actual
DZ,2010,3586.2238661987,actual
DZ,2011,5457.4142273857,actual
DZ,2012,6960.9741346571,actual
DZ,2013,5875.828930026,actual
DZ,2014,6614.3749380855,proj
DZ,2015,6500.8104979562,proj
DZ,2016,6827.2438389631,proj
DZ,2017,7588.9338687791,proj
DZ,2018,8243.0733484897,proj
DZ,2019,8900.152206555,proj
DZ,2020,,proj
EC,2000,,actual
EC,2001,,actual
EC,2002,,actual
EC,2003,,actual
EC,2004,,actual
EC,2005,,actual
EC,2006,,actual
EC,2007,,actual
EC,2008,2166.8825461461,actual
EC,2009,2028.4060570842,actual
EC,2010,2504.8037467854,actual
EC,2011,3365.6119582446,actual
EC,2012,3943.0055689964,actual
EC,2013,4702.0815076364,actual
EC,2014,5073.6804960307,actual
EC,2015,4498.2048880314,proj
EC,2016,4217.7070783526,proj
EC,2017,4120.0471059583,proj
EC,2018,4154.9900972144,proj
EC,2019,4205.2338120519,proj
EC,2020,4241.9710632536,proj
EE,2000,1455.5935058532,actual
EE,2001,1697.1761006609,actual
EE,2002,2057.0205032116,actual
EE,2003,2357.3948588824,actual
