country,year,life-expectancy-at-birth
LK,2004,73.43402439
LS,2004,43.53346341
LT,2004,71.96097561
LU,2004,79.12195122
LV,2004,72.02682927
MO,2004,78.44812195
MF,2004,77.72195122
MA,2004,68.88063415
MC,2004,
MD,2004,67.70317073
MG,2004,60.72870732
MV,2004,73.32380488
MX,2004,75.23656098
MH,2004,
MK,2004,73.9607561
ML,2004,51.033
MT,2004,79.25365854
MM,2004,63.20543902
ME,2004,73.48721951
MN,2004,64.85182927
MP,2004,
MZ,2004,47.73582927
MR,2004,60.10943902
MU,2004,72.27674797
MW,2004,48.06580488
MY,2004,73.52997561
NA,2004,54.92346341
NC,2004,75.51463415
NE,2004,53.46378049
NG,2004,48.12565854
NI,2004,71.48631707
NL,2004,79.09512195
NO,2004,79.84146341
NP,2004,64.2434878
NZ,2004,79.54878049
OM,2004,74.023
PK,2004,64.94082927
PA,2004,75.83656098
PE,2004,72.09680488
PH,2004,67.35421951
PW,2004,
PG,2004,60.265
PL,2004,74.84634146
PR,2004,78.17585366
KP,2004,67.85982927
PT,2004,77.67073171
PY,2004,71.11092683
PF,2004,73.87031707
QA,2004,77.3247561
RO,2004,71.59427561
RU,2004,65.42121951
RW,2004,53.45509756
SA,2004,73.69029268
SD,2004,59.52119512
SN,2004,59.89929268
SG,2004,79.4902439
SB,2004,65.11287805
SL,2004,41.33317073
SV,2004,70.34773171
SM,2004,81.72195122
SO,2004,52.05290244
RS,2004,72.58292683
SS,2004,50.70112195
ST,2004,64.26129268
SR,2004,68.56597561
SK,2004,73.95853659
SI,2004,77.20731707
SE,2004,80.49756098
SZ,2004,45.74534146
SX,2004,
SC,2004,72.6097561
SY,2004,74.4704878
TC,2004,
TD,2004,47.36978049
TG,2004,53.97126829
TH,2004,71.97560976
TJ,2004,65.29663415
TM,2004,64.33743902
TL,2004,62.48517073
TO,2004,71.31443902
TT,2004,68.90056098
TN,2004,73.30243902
TR,2004,72.01112195
TV,2004,
TZ,2004,52.84078049
UG,2004,51.87136585
UA,2004,68.18536585
UY,2004,75.51326829
US,2004,77.33902439
UZ,2004,67.26502439
VC,2004,71.04492683
VE,2004,73.06587805
VI,2004,78.72439024
VN,2004,74.4737561
VU,2004,68.99
PS,2004,71.58519512
WS,2004,70.71460976
YE,2004,61.32865854
ZA,2004,51.8737561
CD,2004,47.59912195
ZM,2004,45.765
ZW,2004,43.1782439
AW,2005,74.22807317
AD,2005,
AF,2005,57.05843902
AO,2005,48.53880488
AL,2005,76.08939024
AE,2005,75.58195122
AR,2005,74.75165854
AM,2005,73.28856098
AS,2005,
AG,2005,74.42185366
AU,2005,80.84146341
AT,2005,79.33170732
AZ,2005,68.93726829
BI,2005,50.007
BE,2005,78.9804878
BJ,2005,57.06697561
BF,2005,52.65870732
BD,2005,67.48956098
BG,2005,72.56097561
BH,2005,75.49231707
BS,2005,73.63887805
BA,2005,75.11239024
BY,2005,68.85121951
BZ,2005,72.04631707
BM,2005,78.68536585
BO,2005,64.70078049
BR,2005,71.71853659
BB,2005,73.94895122
BN,2005,77.03268293
BT,2005,64.02641463
BW,2005,46.72695122
CF,2005,44.99592683
CA,2005,80.29268293
CH,2005,81.23658537
CL,2005,78.13721951
CN,2005,74.05390244
CI,2005,47.23229268
CM,2005,51.88904878
CG,2005,54.03329268
CO,2005,72.26060976
KM,2005,59.05239024
CV,2005,71.86658537
CR,2005,78.44602439
CU,2005,77.70690244
CW,2005,
KY,2005,
CY,2005,78.60119512
CZ,2005,75.92439024
DE,2005,78.93170732
DJ,2005,57.98129268
DM,2005,
DK,2005,77.84390244
DO,2005,71.69141463
DZ,2005,69.83860976
EC,2005,74.629
EG,2005,69.43114634
ER,2005,58.62678049
ES,2005,80.17073171
EE,2005,72.56829268
ET,2005,56.57180488
FI,2005,78.81707317
FJ,2005,68.49178049
FR,2005,80.16341463
FO,2005,79.53902439
FM,2005,67.92487805
GA,2005,60.00914634
GB,2005,79.04878049
GE,2005,72.91070732
GH,2005,58.70453659
GN,2005,52.74512195
GM,2005,56.76192683
GW,2005,52.38085366
GQ,2005,48.86836585
GR,2005,79.23902439
GD,2005,71.4067561
GL,2005,69.22585366
GT,2005,69.60897561
GU,2005,76.74753659
GY,2005,64.52917073
HK,2005,81.5804878
HN,2005,71.47331707
HR,2005,75.24463415
HT,2005,59.28378049
HU,2005,72.64878049
ID,2005,68.85443902
IN,2005,64.09758537
IE,2005,78.94390244
IR,2005,71.49331707
IQ,2005,69.40790244
IS,2005,81.50243902
IL,2005,80.15121951
IT,2005,80.73170732
JM,2005,71.47841463
JO,2005,72.63890244
JP,2005,81.92512195
KZ,2005,65.9097561
KE,2005,54.69734146
KG,2005,67.95609756
KH,2005,67.04312195
KI,2005,66.26326829
KN,2005,
KR,2005,78.43268293
XK,2005,68.69512195
KW,2005,73.73831707
LA,2005,64.50046341
LB,2005,77.07158537
LR,2005,55.06617073
LY,2005,73.57629268
LC,2005,73.00792683
LI,2005,80.66829268
LK,2005,73.60073171
LS,2005,43.65773171
LT,2005,71.25365854
LU,2005,79.43170732
LV,2005,71.35609756
