country,year,income-share-top-10pc
ID,2010,28.18
IN,2010,28.79
IE,2010,
IR,2010,
IQ,2010,
IS,2010,
IL,2010,
IT,2010,
JM,2010,
JO,2010,28.7
JP,2010,
KZ,2010,
KE,2010,
KG,2010,28.2
KH,2010,
KI,2010,
KN,2010,
KR,2010,
XK,2010,
KW,2010,
LA,2010,
LB,2010,
LR,2010,
LY,2010,
LC,2010,
LI,2010,
LK,2010,30.03
LS,2010,
LT,2010,
LU,2010,
LV,2010,
MO,2010,
MF,2010,
MA,2010,
MC,2010,
MD,2010,25.97
MG,2010,34.68
MV,2010,
MX,2010,37.51
MH,2010,
MK,2010,31.93
ML,2010,25.83
MT,2010,
MM,2010,
ME,2010,22.56
MN,2010,
MP,2010,
MZ,2010,
MR,2010,
MU,2010,
MW,2010,34.9
MY,2010,
NA,2010,
NC,2010,
NE,2010,
NG,2010,38.23
NI,2010,
NL,2010,
NO,2010,
NP,2010,26.52
NZ,2010,
OM,2010,
PK,2010,
PA,2010,40.08
PE,2010,36.11
PH,2010,
PW,2010,
PG,2010,
PL,2010,26.67
PR,2010,
KP,2010,
PT,2010,
PY,2010,41.11
PF,2010,
QA,2010,
RO,2010,19.46
RU,2010,
RW,2010,
SA,2010,
SD,2010,
SN,2010,
SG,2010,
SB,2010,
SL,2010,
SV,2010,
SM,2010,
SO,2010,
RS,2010,23.33
SS,2010,
ST,2010,
SR,2010,
SK,2010,
SI,2010,
SE,2010,
SZ,2010,40.12
SX,2010,
SC,2010,
SY,2010,
TC,2010,
TD,2010,
TG,2010,
TH,2010,30.99
TJ,2010,
TM,2010,
TL,2010,
TO,2010,
TT,2010,
TN,2010,27.59
TR,2010,30.1
TV,2010,
TZ,2010,
UG,2010,
UA,2010,21.5
UY,2010,34.36
US,2010,
UZ,2010,
VC,2010,
VE,2010,
VI,2010,
VN,2010,
VU,2010,
PS,2010,
WS,2010,
YE,2010,
ZA,2010,
CD,2010,
ZM,2010,47.39
ZW,2010,
AW,2011,
AD,2011,
AF,2011,
AO,2011,
AL,2011,
AE,2011,
AR,2011,
AM,2011,
AS,2011,
AG,2011,
AU,2011,
AT,2011,
