country,Year,gni-usd-current
GR,2009,3.13196E+11
GD,2009,734153073.7
GL,2009,1145422698
GT,2009,36632191089
GU,2009,
GY,2009,2008810983
HK,2009,2.20466E+11
HN,2009,14199323327
HR,2009,60229672896
HT,2009,6483054240
HU,2009,1.21031E+11
ID,2009,5.20694E+11
IN,2009,1.35736E+12
IE,2009,1.87929E+11
IR,2009,3.28593E+11
IQ,2009,1.14755E+11
IS,2009,9754506749
IL,2009,2.00677E+11
IT,2009,2.10141E+12
JM,2009,11379658718
JO,2009,24327337002
JP,2009,5.17491E+12
KZ,2009,1.02891E+11
KE,2009,30542398702
KG,2009,4500279424
KH,2009,9917830383
KI,2009,180315083.5
KN,2009,649705897.8
KR,2009,8.37777E+11
XK,2009,5564775190
KW,2009,1.15294E+11
LA,2009,5667827749
LB,2009,34422646269
LR,2009,1010546230
LY,2009,61985446571
LC,2009,1128768269
LI,2009,4816821618
LK,2009,41582547416
LS,2009,2116178710
LT,2009,37817230274
LU,2009,32610159031
LV,2009,27850870253
MO,2009,19392485654
MF,2009,
MA,2009,88520417029
MC,2009,
MD,2009,5742455648
MG,2009,8498137501
MV,2009,1712239641
MX,2009,8.80989E+11
MH,2009,192316754.3
MK,2009,9231175096
ML,2009,8507503517
MT,2009,7410640006
MM,2009,
ME,2009,4367698967
MN,2009,4387999120
MP,2009,
MZ,2009,9430385010
MR,2009,3079044003
MU,2009,8792952396
MW,2009,4958963095
MY,2009,1.98218E+11
NA,2009,8723483980
NC,2009,
NE,2009,5362461274
NG,2009,1.54918E+11
NI,2009,7900937657
NL,2009,7.77093E+11
NO,2009,3.80991E+11
NP,2009,13007658749
NZ,2009,1.14173E+11
OM,2009,45220806606
PK,2009,1.72564E+11
PA,2009,25469259790
PE,2009,1.21679E+11
PH,2009,1.68141E+11
PW,2009,174300000
PG,2009,7854647926
PL,2009,4.14536E+11
PR,2009,62598100000
KP,2009,
PT,2009,2.24583E+11
PY,2009,14775651439
PF,2009,
QA,2009,88385711738
RO,2009,1.61691E+11
RU,2009,1.18311E+12
RW,2009,5215814869
SA,2009,4.37711E+11
SD,2009,48823909300
SN,2009,12634292871
SG,2009,1.78714E+11
SB,2009,473087276.4
SL,2009,2418851784
SV,2009,20104900000
SM,2009,
SO,2009,
RS,2009,39560334979
SS,2009,8777205454
ST,2009,196189630.4
SR,2009,3877158470
SK,2009,82457071409
SI,2009,48059582019
SE,2009,4.13533E+11
SZ,2009,3085420520
SX,2009,
SC,2009,801389179.2
SY,2009,
TC,2009,
TD,2009,8866907951
TG,2009,2803415818
TH,2009,2.5343E+11
TJ,2009,4908255903
TM,2009,18957456140
TL,2009,2564500000
TO,2009,324926735.4
TT,2009,18225500970
TN,2009,41370139969
TR,2009,6.06354E+11
TV,2009,47386207.74
TZ,2009,21093432178
UG,2009,14533579292
UA,2009,1.14788E+11
UY,2009,29191242840
US,2009,1.44929E+13
UZ,2009,33857794012
VC,2009,659331086.7
VE,2009,3.25885E+11
VI,2009,
VN,2009,1.01448E+11
VU,2009,586832593
PS,2009,
WS,2009,473747079.6
YE,2009,23958814103
ZA,2009,2.77642E+11
CD,2009,10424941889
ZM,2009,12386320522
ZW,2009,5734367176
AW,2010,
AD,2010,
AF,2010,15950423037
AO,2010,74299130328
AL,2010,11759009920
AE,2010,2.87322E+11
AR,2010,3.58619E+11
AM,2010,9598944077
AS,2010,
AG,2010,1129601146
AU,2010,1.09367E+12
AT,2010,3.77955E+11
AZ,2010,49438920879
BI,2010,2014764414
BE,2010,4.79379E+11
BJ,2010,6504939179
BF,2010,9202852243
BD,2010,1.09695E+11
BG,2010,46225833929
BH,2010,23340384325
BS,2010,7563718052
BA,2010,17053785609
BY,2010,54058304320
BZ,2010,1328650000
BM,2010,7201484000
BO,2010,18785617578
BR,2010,2.10437E+12
BB,2010,4321850000
BN,2010,
BT,2010,1497476040
BW,2010,13192562435
CF,2010,1981474658
CA,2010,1.54965E+12
CH,2010,5.86706E+11
CL,2010,2.02925E+11
CN,2010,5.90463E+12
CI,2010,21923318753
CM,2010,22229306991
CG,2010,9024207212
CO,2010,2.74977E+11
KM,2010,541085233.5
CV,2010,1591145943
CR,2010,35553167738
CU,2010,63388654344
CW,2010,
KY,2010,
CY,2010,22539470199
CZ,2010,1.83558E+11
DE,2010,3.37649E+12
DJ,2010,
DM,2010,462612102.5
DK,2010,3.20408E+11
DO,2010,50061879416
DZ,2010,1.61125E+11
EC,2010,66474078036
EG,2010,2.17727E+11
ER,2010,2097411540
ES,2010,1.36712E+12
EE,2010,17985490550
ET,2010,26191926544
FI,2010,2.40229E+11
FJ,2010,3125162905
FR,2010,2.61717E+12
FO,2010,
FM,2010,305079052.7
GA,2010,12822032806
GB,2010,2.30292E+12
GE,2010,11415956263
GH,2010,31640467497
GN,2010,4302274703
GM,2010,921899568.7
GW,2010,834474436.2
GQ,2010,6784889776
GR,2010,2.85966E+11
GD,2010,740852349.9
GL,2010,
GT,2010,40126861799
GU,2010,
GY,2010,2272060828
HK,2010,2.33535E+11
HN,2010,15107020350
HR,2010,56812850612
HT,2010,6656859143
HU,2010,1.22372E+11
ID,2010,6.89283E+11
IN,2010,1.6905E+12
IE,2010,1.76023E+11
IR,2010,
IQ,2010,1.44408E+11
IS,2010,10360232807
IL,2010,2.26562E+11
IT,2010,2.04566E+12
JM,2010,12709510185
JO,2010,26334252606
JP,2010,5.64318E+12
KZ,2010,1.28677E+11
KE,2010,32039682196
KG,2010,4450417809
KH,2010,10710660006
KI,2010,211796000.7
KN,2010,635834694.8
KR,2010,1.01617E+12
XK,2010,5712340420
KW,2010,1.3062E+11
LA,2010,6713291503
LB,2010,36615478109
LR,2010,1113296476
LY,2010,
LC,2010,1169286266
LI,2010,
LK,2010,48950362639
LS,2010,2622180679
LT,2010,36012738365
LU,2010,35974100781
LV,2010,24516542558
MO,2010,25309537149
MF,2010,
MA,2010,88544147700
MC,2010,
MD,2010,6296603430
MG,2010,8750404914
MV,2010,1822804884
MX,2010,1.03637E+12
MH,2010,198869118.2
MK,2010,9214968884
ML,2010,9003275482
MT,2010,7492980132
MM,2010,
ME,2010,3958993756
MN,2010,5640279445
MP,2010,
MZ,2010,9192315718
MR,2010,3603119917
MU,2010,9835338678
MW,2010,5272239936
MY,2010,2.39358E+11
NA,2010,10562913361
NC,2010,
NE,2010,5674417064
NG,2010,3.46677E+11
NI,2010,8343806497
NL,2010,7.65235E+11
NO,2010,4.26196E+11
NP,2010,16132765101
NZ,2010,1.36032E+11
OM,2010,56053576525
