country_from,country_to,year,bl_remittances,,Notes
AO,IQ,2012,0,,
AO,IR,2012,0,,
AO,JM,2012,0,,
AO,JO,2012,0,,
AO,KE,2012,0,,
AO,KG,2012,0,,
AO,KH,2012,0,,
AO,KI,2012,0,,
AO,KM,2012,0,,
AO,KN,2012,0,,
AO,KP,2012,0,,
AO,KZ,2012,0,,
AO,LA,2012,0,,
AO,LB,2012,0,,
AO,LC,2012,0,,
AO,LK,2012,0,,
AO,LR,2012,0,,
AO,LS,2012,0,,
AO,LY,2012,0,,
AO,MA,2012,0,,
AO,MD,2012,0,,
AO,ME,2012,0,,
AO,MG,2012,0,,
AO,MH,2012,0,,
AO,MK,2012,0,,
AO,ML,2012,0,,
AO,MM,2012,0,,
AO,MN,2012,0,,
AO,MR,2012,0,,
AO,MS,2012,,,
AO,MU,2012,0,,
AO,MV,2012,0,,
AO,MW,2012,0,,
AO,MX,2012,0,,
AO,MY,2012,0,,
AO,MZ,2012,0,,
AO,NA,2012,0,,
AO,NE,2012,0,,
AO,NG,2012,0,,
AO,NI,2012,0,,
AO,NP,2012,0,,
AO,NR,2012,,,
AO,NU,2012,,,
AO,PA,2012,0,,
AO,PE,2012,0,,
AO,PG,2012,0,,
AO,PH,2012,0,,
AO,PK,2012,0,,
AO,PS,2012,0,,
AO,PW,2012,0,,
AO,PY,2012,0,,
AO,RS,2012,0,,
AO,RW,2012,0,,
AO,SB,2012,0,,
AO,SC,2012,0,,
AO,SD,2012,0,,
AO,SH,2012,,,
AO,SL,2012,0,,
AO,SN,2012,0,,
AO,SO,2012,0,,
AO,SR,2012,0,,
AO,SS,2012,,,
AO,ST,2012,1.6,,
AO,SV,2012,0,,
AO,SY,2012,0,,
AO,SZ,2012,0,,
AO,TD,2012,0,,
AO,TG,2012,0,,
AO,TH,2012,0,,
AO,TJ,2012,0,,
AO,TK,2012,,,
AO,TL,2012,0,,
AO,TM,2012,0,,
AO,TN,2012,0,,
AO,TO,2012,0,,
AO,TR,2012,0,,
AO,TV,2012,0,,
AO,TZ,2012,0,,
AO,UA,2012,0,,
AO,UG,2012,0,,
AO,UY,2012,0,,
AO,UZ,2012,0,,
AO,VC,2012,0,,
AO,VE,2012,0,,
AO,VN,2012,0,,
AO,VU,2012,0,,
AO,WF,2012,,,
AO,WS,2012,0,,
AO,XK,2012,0,,
AO,YE,2012,0,,
AO,ZA,2012,0,,
AO,ZM,2012,0.09,,
AO,ZW,2012,0,,
AR,AF,2012,0,,
AR,AG,2012,0,,
AR,AI,2012,,,
AR,AL,2012,0,,
AR,AM,2012,0.08,,
AR,AO,2012,0,,
AR,AR,2012,0,,
AR,AZ,2012,0.13,,
AR,BA,2012,0.68,,
AR,BD,2012,0,,
AR,BF,2012,0,,
AR,BI,2012,0,,
AR,BJ,2012,0,,
AR,BO,2012,300.99,,
AR,BR,2012,108.27,,
AR,BT,2012,0,,
