"id","year","in-oda-gross","capital-repayment","interest-repayment"
"DZ",2004,467230000,91050000,51060000
"EG",2004,2382790000,549010000,294890000
"LY",2004,0,0,0
"MA",2004,1297670000,380230000,124240000
"TN",2004,671210000,251560000,67830000
"north-of-sahara",2004,213450000,0,0
"AO",2004,1364680000,14380000,6240000
"BJ",2004,580190000,105770000,12680000
"BW",2004,81240000,20410000,5400000
"BF",2004,863660000,84470000,17550000
"BI",2004,514020000,72920000,41680000
"CV",2004,186660000,13770000,5490000
"CM",2004,1173210000,226840000,51090000
"CF",2004,140690000,10240000,210000
"TD",2004,450730000,46780000,12400000
"KM",2004,36610000,5210000,1300000
"CG",2004,195970000,56960000,50700000
"CI",2004,421570000,230740000,11130000
"CD",2004,2368790000,99960000,38370000
"DJ",2004,87970000,11050000,2620000
"GQ",2004,59560000,24810000,10200000
"ER",2004,339320000,11700000,5620000
"ET",2004,2316170000,113850000,47170000
"GA",2004,115950000,67920000,13280000
"GM",2004,101130000,27290000,4990000
"GH",2004,2975760000,1298520000,123310000
